Customer placed order datetime,Placed order with restaurant datetime,Driver at restaurant datetime,Delivered to consumer datetime,Driver ID,Restaurant ID,Consumer ID,Delivery Region,Is ASAP,Order total,Amount of discount,Amount of tip,Refunded amount,Customer placed order (minutes),Placed order with restaurant (minutes),Driver at restaurant (minutes),Delivered to consumer (minutes),Day,Time_to_Restaurant (min),Restaurant_Prep_Time (min),Total_Delivery_Time (min),DayOfWeek,IsWeekend,IsHolidayPeriod,Net_Revenue,Hour_of_Day
01 00:08:49,01 00:10:45,01 00:27:11,01 00:49:16,204,50,1719,Mountain View,True,83.32,0.0,3.55,0.0,8.816666666666666,10.75,27.183333333333334,49.266666666666666,1,1.9333333333333336,16.433333333333334,40.45,Tuesday,0,0,83.32,0
01 00:09:03,01 00:13:12,,01 00:47:19,282,276,63401,San Jose,True,63.53,0.0,2.64,0.0,9.05,13.2,,47.31666666666667,1,4.149999999999999,,38.266666666666666,Tuesday,0,0,63.53,0
01 00:10:22,01 00:10:49,,01 00:36:41,125,3,1122,Palo Alto,True,46.02,0.0,2.3,0.0,10.366666666666667,10.816666666666666,,36.68333333333333,1,0.4499999999999993,,26.316666666666663,Tuesday,0,0,46.02,0
01 00:10:42,01 00:12:09,01 00:26:25,01 00:50:51,215,9,13787,Palo Alto,True,51.68,0.0,2.58,0.0,10.7,12.15,26.416666666666668,50.85,1,1.450000000000001,14.266666666666667,40.150000000000006,Tuesday,0,0,51.68,0
01 00:10:44,01 00:13:20,,01 00:58:40,109,170,74944,San Jose,True,27.64,6.0,3.0,0.0,10.733333333333333,13.333333333333334,,58.666666666666664,1,2.6000000000000014,,47.93333333333333,Tuesday,0,0,27.64,0
01 00:12:05,01 00:14:02,01 00:22:20,01 00:42:48,330,8,3813,Palo Alto,True,22.86,0.0,3.43,0.0,12.083333333333334,14.033333333333333,22.333333333333332,42.8,1,1.9499999999999993,8.299999999999999,30.71666666666666,Tuesday,0,0,22.86,0
01 00:12:45,01 01:00:38,01 01:03:47,01 01:31:35,324,86,74993,Palo Alto,False,11.86,6.0,1.0,0.0,12.75,60.63333333333333,63.78333333333333,91.58333333333333,1,47.88333333333333,3.1499999999999986,78.83333333333333,Tuesday,0,0,11.86,0
01 00:12:50,01 00:14:37,,01 01:00:36,304,289,74970,San Jose,True,54.88,6.0,2.24,0.0,12.833333333333334,14.616666666666667,,60.6,1,1.7833333333333332,,47.766666666666666,Tuesday,0,0,54.88,0
01 00:12:59,01 00:14:00,01 00:18:49,01 00:57:17,198,107,3669,Palo Alto,True,26.66,0.0,1.33,0.0,12.983333333333333,14.0,18.816666666666666,57.28333333333333,1,1.0166666666666675,4.816666666666666,44.3,Tuesday,0,0,26.66,0
01 00:13:04,01 00:15:15,01 00:21:10,01 00:53:51,207,43,3016,Mountain View,True,92.52,0.0,7.95,0.0,13.066666666666666,15.25,21.166666666666668,53.85,1,2.1833333333333336,5.916666666666668,40.78333333333333,Tuesday,0,0,92.52,0
01 00:13:05,01 00:14:02,,01 01:19:09,195,20,32411,Palo Alto,True,71.03,0.0,3.55,0.0,13.083333333333334,14.033333333333333,,79.15,1,0.9499999999999993,,66.06666666666668,Tuesday,0,0,71.03,0
01 00:14:35,01 00:15:02,01 00:29:57,01 00:51:36,156,48,71321,Palo Alto,True,44.44,0.0,0.0,0.0,14.583333333333334,15.033333333333333,29.95,51.6,1,0.4499999999999993,14.916666666666666,37.016666666666666,Tuesday,0,0,44.44,0
01 00:16:24,01 00:17:58,01 00:33:43,01 00:47:01,277,62,6943,Palo Alto,True,19.59,0.0,0.98,0.0,16.4,17.966666666666665,33.71666666666667,47.016666666666666,1,1.5666666666666664,15.750000000000004,30.616666666666667,Tuesday,0,0,19.59,0
01 00:16:48,01 00:17:48,01 00:32:14,01 00:50:17,36,181,26616,San Jose,True,47.27,0.0,3.79,0.0,16.8,17.8,32.233333333333334,50.28333333333333,1,1.0,14.433333333333334,33.483333333333334,Tuesday,0,0,47.27,0
01 00:16:51,01 01:52:36,01 01:40:39,01 02:17:19,34,240,5709,Palo Alto,False,46.62,0.0,5.6,0.0,16.85,112.6,100.65,137.31666666666666,1,95.75,-11.949999999999989,120.46666666666667,Tuesday,0,0,46.62,0
01 00:17:01,01 00:17:18,01 00:45:35,01 01:01:42,66,41,1148,Palo Alto,True,78.21,0.0,6.64,0.0,17.016666666666666,17.3,45.583333333333336,61.7,1,0.283333333333335,28.283333333333335,44.68333333333334,Tuesday,0,0,78.21,0
01 00:17:59,01 00:21:40,,01 01:15:22,224,72,2445,Palo Alto,True,47.75,0.0,1.91,0.0,17.983333333333334,21.666666666666668,,75.36666666666666,1,3.6833333333333336,,57.383333333333326,Tuesday,0,0,47.75,0
01 00:18:53,01 00:21:50,01 00:46:37,01 01:00:54,224,258,58590,Palo Alto,True,32.86,0.0,3.7,0.0,18.883333333333333,21.833333333333332,46.61666666666667,60.9,1,2.9499999999999993,24.783333333333335,42.016666666666666,Tuesday,0,0,32.86,0
01 00:19:55,01 00:20:06,01 00:31:50,01 01:01:40,48,107,6163,Palo Alto,True,60.27,0.0,6.03,0.0,19.916666666666668,20.1,31.833333333333332,61.666666666666664,1,0.18333333333333357,11.73333333333333,41.75,Tuesday,0,0,60.27,0
01 00:21:49,01 00:22:41,01 00:45:35,01 01:25:12,317,170,14647,San Jose,True,51.4,0.0,2.57,15.0,21.816666666666666,22.683333333333334,45.583333333333336,85.2,1,0.8666666666666671,22.900000000000002,63.38333333333334,Tuesday,0,0,36.4,0
01 00:21:53,01 00:22:26,01 00:33:15,01 01:15:04,248,98,8534,Mountain View,True,29.87,0.0,0.0,0.0,21.883333333333333,22.433333333333334,33.25,75.06666666666666,1,0.5500000000000007,10.816666666666666,53.18333333333333,Tuesday,0,0,29.87,0
01 00:22:49,01 00:24:18,01 00:33:51,01 01:18:25,166,8,4187,Palo Alto,True,90.78,0.0,7.79,0.0,22.816666666666666,24.3,33.85,78.41666666666667,1,1.4833333333333343,9.55,55.60000000000001,Tuesday,0,0,90.78,0
01 00:22:58,01 00:23:23,01 00:50:07,01 00:52:57,314,63,1169,Palo Alto,False,77.39,0.0,3.28,0.0,22.966666666666665,23.383333333333333,50.11666666666667,52.95,1,0.41666666666666785,26.733333333333334,29.983333333333338,Tuesday,0,0,77.39,0
01 00:23:50,01 00:25:39,,01 00:59:29,64,109,1779,Palo Alto,True,58.16,0.0,2.39,0.0,23.833333333333332,25.65,,59.483333333333334,1,1.8166666666666664,,35.650000000000006,Tuesday,0,0,58.16,0
01 00:24:46,01 00:28:13,01 00:39:52,01 01:05:18,84,86,3668,Palo Alto,True,35.4,0.0,4.05,0.0,24.766666666666666,28.216666666666665,39.86666666666667,65.3,1,3.4499999999999993,11.650000000000002,40.53333333333333,Tuesday,0,0,35.4,0
01 00:25:33,01 00:26:36,01 00:54:40,01 01:15:25,259,32,2704,Palo Alto,False,42.27,0.0,3.33,0.0,25.55,26.6,54.666666666666664,75.41666666666667,1,1.0500000000000007,28.066666666666663,49.866666666666674,Tuesday,0,0,42.27,0
01 00:25:49,01 01:01:50,,01 01:36:01,154,62,12579,Palo Alto,False,63.53,0.0,7.93,0.0,25.816666666666666,61.833333333333336,,96.01666666666667,1,36.016666666666666,,70.2,Tuesday,0,0,63.53,0
01 00:26:31,01 00:35:41,01 00:46:59,01 01:05:29,336,135,11679,San Jose,True,18.51,0.0,1.15,0.0,26.516666666666666,35.68333333333333,46.983333333333334,65.48333333333333,1,9.166666666666664,11.300000000000004,38.96666666666667,Tuesday,0,0,18.51,0
01 00:26:54,01 00:39:57,01 01:16:25,01 01:31:19,64,77,2404,Mountain View,False,42.92,0.0,2.15,0.0,26.9,39.95,76.41666666666667,91.31666666666666,1,13.050000000000004,36.46666666666667,64.41666666666666,Tuesday,0,0,42.92,0
01 00:26:55,01 00:29:21,01 00:39:17,01 01:02:39,287,114,46287,Mountain View,True,36.29,0.0,0.0,0.0,26.916666666666668,29.35,39.28333333333333,62.65,1,2.4333333333333336,9.93333333333333,35.733333333333334,Tuesday,0,0,36.29,0
01 00:27:07,01 00:27:35,01 00:54:52,01 01:08:19,277,63,12461,Palo Alto,False,53.74,6.0,0.0,0.0,27.116666666666667,27.583333333333332,54.86666666666667,68.31666666666666,1,0.466666666666665,27.283333333333335,41.199999999999996,Tuesday,0,0,53.74,0
01 00:30:29,01 00:40:47,01 01:08:36,01 01:25:50,147,62,3805,Palo Alto,False,52.16,0.0,7.0,0.0,30.483333333333334,40.78333333333333,68.6,85.83333333333333,1,10.299999999999997,27.816666666666663,55.349999999999994,Tuesday,0,0,52.16,0
01 00:30:42,01 00:32:26,01 00:49:56,01 01:15:02,262,306,967,Palo Alto,True,60.48,0.0,5.01,0.0,30.7,32.43333333333333,49.93333333333333,75.03333333333333,1,1.7333333333333307,17.5,44.33333333333333,Tuesday,0,0,60.48,0
01 00:30:59,01 00:34:08,,01 01:37:07,274,95,3605,Mountain View,False,80.87,0.0,3.44,0.0,30.983333333333334,34.13333333333333,,97.11666666666666,1,3.1499999999999986,,66.13333333333333,Tuesday,0,0,80.87,0
01 00:31:06,01 00:38:26,01 00:45:20,01 01:08:13,327,12,36458,Palo Alto,True,24.92,6.0,1.25,0.0,31.1,38.43333333333333,45.333333333333336,68.21666666666667,1,7.333333333333329,6.900000000000006,37.11666666666667,Tuesday,0,0,24.92,0
01 00:31:16,01 00:33:00,01 00:46:42,01 01:07:10,24,7,22580,Palo Alto,True,94.63,0.0,4.73,0.0,31.266666666666666,33.0,46.7,67.16666666666667,1,1.7333333333333343,13.700000000000003,35.900000000000006,Tuesday,0,0,94.63,0
01 00:31:28,01 00:35:04,01 00:45:30,01 01:18:54,196,217,8623,Mountain View,True,18.43,0.0,0.92,0.0,31.466666666666665,35.06666666666667,45.5,78.9,1,3.600000000000005,10.43333333333333,47.43333333333334,Tuesday,0,0,18.43,0
01 00:31:38,01 00:32:50,01 01:02:48,01 01:44:32,125,107,71624,Palo Alto,True,142.39,6.0,5.99,0.0,31.633333333333333,32.833333333333336,62.8,104.53333333333333,1,1.2000000000000028,29.96666666666666,72.9,Tuesday,0,0,142.39,0
01 00:32:07,01 00:41:17,01 01:16:15,01 01:42:55,41,76,7418,Palo Alto,True,92.57,0.0,9.26,11.91,32.11666666666667,41.28333333333333,76.25,102.91666666666667,1,9.166666666666664,34.96666666666667,70.80000000000001,Tuesday,0,0,80.66,0
01 00:32:42,01 00:35:15,01 01:08:25,01 01:27:04,204,76,6286,Mountain View,True,90.44,0.0,7.76,0.0,32.7,35.25,68.41666666666667,87.06666666666666,1,2.549999999999997,33.16666666666667,54.36666666666666,Tuesday,0,0,90.44,0
01 00:33:29,01 00:39:18,01 02:03:46,01 04:34:30,277,8,4181,Palo Alto,False,84.14,0.0,0.0,6.0,33.483333333333334,39.3,123.76666666666667,274.5,1,5.816666666666663,84.46666666666667,241.01666666666665,Tuesday,0,0,78.14,0
01 00:33:58,01 00:38:06,01 01:18:27,01 01:34:34,297,32,1342,Mountain View,False,31.45,0.0,1.04,0.0,33.96666666666667,38.1,78.45,94.56666666666666,1,4.133333333333333,40.35,60.599999999999994,Tuesday,0,0,31.45,0
01 00:34:04,01 00:36:23,01 00:56:04,01 01:26:17,216,8,2743,Palo Alto,True,30.41,0.0,5.0,0.0,34.06666666666667,36.38333333333333,56.06666666666667,86.28333333333333,1,2.316666666666663,19.683333333333337,52.21666666666666,Tuesday,0,0,30.41,0
01 00:34:34,01 00:36:26,01 00:54:36,01 01:28:05,133,8,669,Palo Alto,True,24.98,0.0,0.87,0.0,34.56666666666667,36.43333333333333,54.6,88.08333333333333,1,1.86666666666666,18.16666666666667,53.51666666666666,Tuesday,0,0,24.98,0
01 00:34:49,01 00:39:28,,01 00:50:46,125,83,2482,Palo Alto,True,28.24,0.0,1.0,0.0,34.81666666666667,39.46666666666667,,50.766666666666666,1,4.649999999999999,,15.949999999999996,Tuesday,0,0,28.24,0
01 00:34:50,01 00:45:28,,01 01:15:53,308,72,12034,Palo Alto,True,20.66,0.0,0.0,0.0,34.833333333333336,45.46666666666667,,75.88333333333334,1,10.633333333333333,,41.050000000000004,Tuesday,0,0,20.66,0
01 00:35:05,01 00:41:59,01 00:58:59,01 01:20:23,325,236,3630,Palo Alto,True,38.05,0.0,4.41,0.0,35.083333333333336,41.983333333333334,58.983333333333334,80.38333333333334,1,6.899999999999999,17.0,45.300000000000004,Tuesday,0,0,38.05,0
01 00:35:15,01 00:46:04,01 00:51:11,01 01:19:49,73,216,40233,Mountain View,True,41.83,6.0,2.09,0.0,35.25,46.06666666666667,51.18333333333333,79.81666666666666,1,10.81666666666667,5.11666666666666,44.56666666666666,Tuesday,0,0,41.83,0
01 00:35:16,01 00:44:15,01 00:54:42,01 01:25:25,279,224,11357,Mountain View,True,56.03,0.0,2.8,0.0,35.266666666666666,44.25,54.7,85.41666666666667,1,8.983333333333334,10.450000000000003,50.150000000000006,Tuesday,0,0,56.03,0
01 00:35:51,01 00:37:45,01 01:09:27,01 02:00:22,227,170,75046,San Jose,True,27.64,6.0,4.0,0.0,35.85,37.75,69.45,120.36666666666666,1,1.8999999999999986,31.700000000000003,84.51666666666665,Tuesday,0,0,27.64,0
01 00:35:52,01 00:49:03,01 01:11:40,01 01:40:07,330,252,4508,Palo Alto,True,30.47,0.0,2.25,0.0,35.86666666666667,49.05,71.66666666666667,100.11666666666666,1,13.18333333333333,22.616666666666674,64.25,Tuesday,0,0,30.47,0
01 00:36:20,01 00:36:40,,01 01:27:51,151,20,2594,Palo Alto,True,21.12,0.0,3.17,0.0,36.333333333333336,36.666666666666664,,87.85,1,0.3333333333333286,,51.51666666666666,Tuesday,0,0,21.12,0
01 00:36:41,01 00:39:23,,01 01:57:28,133,8,4087,Palo Alto,False,66.19,0.0,2.76,0.0,36.68333333333333,39.38333333333333,,117.46666666666667,1,2.700000000000003,,80.78333333333333,Tuesday,0,0,66.19,0
01 00:37:00,01 00:44:19,01 01:05:42,01 01:23:18,137,268,9956,Palo Alto,True,39.55,0.0,1.98,0.0,37.0,44.31666666666667,65.7,83.3,1,7.31666666666667,21.383333333333333,46.3,Tuesday,0,0,39.55,0
01 00:37:07,01 00:48:36,01 01:08:34,01 01:43:36,151,233,1925,Palo Alto,True,48.51,0.0,3.9,0.0,37.11666666666667,48.6,68.56666666666666,103.6,1,11.483333333333334,19.96666666666666,66.48333333333332,Tuesday,0,0,48.51,0
01 00:37:35,01 00:48:52,01 00:55:22,01 01:18:29,288,72,75033,Palo Alto,True,43.01,6.0,4.3,0.0,37.583333333333336,48.86666666666667,55.36666666666667,78.48333333333333,1,11.283333333333331,6.5,40.9,Tuesday,0,0,43.01,0
01 00:38:16,01 00:43:42,01 00:57:14,01 01:38:06,249,222,23952,San Jose,True,22.27,0.0,3.34,0.0,38.266666666666666,43.7,57.233333333333334,98.1,1,5.433333333333337,13.533333333333331,59.83333333333333,Tuesday,0,0,22.27,0
01 00:38:34,01 00:44:30,01 01:02:58,01 01:33:41,313,28,10512,Palo Alto,True,86.69,0.0,3.0,0.0,38.56666666666667,44.5,62.96666666666667,93.68333333333334,1,5.93333333333333,18.46666666666667,55.11666666666667,Tuesday,0,0,86.69,0
01 00:38:34,01 00:45:13,01 00:59:19,01 01:16:25,73,43,7920,Mountain View,True,24.49,0.0,2.45,0.0,38.56666666666667,45.21666666666667,59.31666666666667,76.41666666666667,1,6.649999999999999,14.100000000000001,37.85,Tuesday,0,0,24.49,0
01 00:38:37,01 01:11:29,01 01:59:44,01 02:24:40,279,8,75066,Mountain View,False,28.24,6.0,0.0,0.0,38.61666666666667,71.48333333333333,119.73333333333333,144.66666666666666,1,32.86666666666667,48.25,106.04999999999998,Tuesday,0,0,28.24,0
01 00:40:11,01 00:49:49,01 01:02:41,01 01:22:15,207,50,75062,Mountain View,True,20.63,6.0,2.01,0.0,40.18333333333333,49.81666666666667,62.68333333333333,82.25,1,9.63333333333334,12.86666666666666,42.06666666666667,Tuesday,0,0,20.63,0
01 00:40:50,01 00:52:06,01 00:58:07,01 01:59:33,156,28,9267,Palo Alto,True,74.19,0.0,6.27,0.0,40.833333333333336,52.1,58.11666666666667,119.55,1,11.266666666666666,6.016666666666666,78.71666666666667,Tuesday,0,0,74.19,0
01 00:40:57,01 00:49:42,01 01:31:09,01 01:47:52,216,9,10634,Palo Alto,True,113.06,0.0,9.84,0.0,40.95,49.7,91.15,107.86666666666666,1,8.75,41.45,66.91666666666666,Tuesday,0,0,113.06,0
01 00:41:16,01 00:45:23,,01 01:20:39,282,271,10378,San Jose,True,58.76,0.0,4.84,0.0,41.266666666666666,45.38333333333333,,80.65,1,4.116666666666667,,39.38333333333334,Tuesday,0,0,58.76,0
01 00:42:16,01 00:43:42,01 01:21:54,01 02:00:34,299,10,48555,Palo Alto,True,58.2,6.0,7.2,0.0,42.266666666666666,43.7,81.9,120.56666666666666,1,1.4333333333333371,38.2,78.3,Tuesday,0,0,58.2,0
01 00:42:27,01 00:44:25,01 01:55:43,01 02:12:26,151,10,75010,Palo Alto,True,144.68,6.0,12.2,0.0,42.45,44.416666666666664,115.71666666666667,132.43333333333334,1,1.9666666666666615,71.30000000000001,89.98333333333333,Tuesday,0,0,144.68,0
01 00:42:59,01 00:49:50,01 01:16:30,01 01:47:31,312,76,8867,Palo Alto,True,57.49,0.0,2.87,0.0,42.983333333333334,49.833333333333336,76.5,107.51666666666667,1,6.850000000000001,26.666666666666664,64.53333333333333,Tuesday,0,0,57.49,0
01 00:43:18,01 00:44:07,01 01:12:50,01 01:59:04,222,47,13680,Palo Alto,True,94.41,0.0,4.72,0.0,43.3,44.11666666666667,72.83333333333333,119.06666666666666,1,0.81666666666667,28.71666666666666,75.76666666666667,Tuesday,0,0,94.41,0
01 00:43:59,01 00:54:26,,01 01:26:46,340,83,988,Palo Alto,True,34.22,0.0,2.59,0.0,43.983333333333334,54.43333333333333,,86.76666666666667,1,10.449999999999996,,42.78333333333333,Tuesday,0,0,34.22,0
01 00:44:02,01 01:04:24,01 01:21:37,01 01:40:28,145,59,3520,Palo Alto,True,19.05,0.0,0.6,0.0,44.03333333333333,64.4,81.61666666666666,100.46666666666667,1,20.366666666666674,17.216666666666654,56.43333333333334,Tuesday,0,0,19.05,0
01 00:44:16,01 01:02:10,01 01:32:05,01 01:46:49,288,6,383,Palo Alto,True,34.22,0.0,5.13,0.0,44.266666666666666,62.166666666666664,92.08333333333333,106.81666666666666,1,17.9,29.916666666666664,62.55,Tuesday,0,0,34.22,0
01 00:44:40,01 00:47:30,01 01:24:37,01 01:45:28,69,169,12905,San Jose,True,53.2,6.0,2.66,0.0,44.666666666666664,47.5,84.61666666666666,105.46666666666667,1,2.8333333333333357,37.11666666666666,60.800000000000004,Tuesday,0,0,53.2,0
01 00:45:42,01 00:50:00,,01 01:48:29,282,178,70820,San Jose,True,28.73,6.0,4.31,0.0,45.7,50.0,,108.48333333333333,1,4.299999999999997,,62.78333333333333,Tuesday,0,0,28.73,0
01 00:45:49,01 01:08:41,,01 01:51:06,66,87,51889,Palo Alto,True,90.5,6.0,7.77,0.0,45.81666666666667,68.68333333333334,,111.1,1,22.866666666666667,,65.28333333333333,Tuesday,0,0,90.5,0
01 00:46:06,01 00:53:51,01 01:20:05,01 01:42:07,320,8,32,Palo Alto,True,40.8,0.0,6.12,0.0,46.1,53.85,80.08333333333333,102.11666666666666,1,7.75,26.233333333333327,56.01666666666666,Tuesday,0,0,40.8,0
01 00:47:14,01 00:50:42,01 01:04:59,01 01:17:38,36,139,38941,San Jose,True,27.21,0.0,2.92,0.0,47.233333333333334,50.7,64.98333333333333,77.63333333333334,1,3.4666666666666686,14.283333333333331,30.400000000000006,Tuesday,0,0,27.21,0
01 00:47:35,01 01:12:12,01 01:16:28,01 01:29:14,24,72,212,Palo Alto,True,31.56,0.0,2.0,0.0,47.583333333333336,72.2,76.46666666666667,89.23333333333333,1,24.616666666666667,4.266666666666666,41.65,Tuesday,0,0,31.56,0
01 00:47:54,01 00:53:47,01 01:23:54,01 01:47:23,166,205,5191,Palo Alto,True,50.32,0.0,2.03,0.0,47.9,53.78333333333333,83.9,107.38333333333334,1,5.883333333333333,30.116666666666674,59.48333333333334,Tuesday,0,0,50.32,0
01 00:48:05,01 00:51:59,01 01:16:19,01 01:33:56,243,154,61333,San Jose,True,47.22,0.0,7.08,0.0,48.083333333333336,51.983333333333334,76.31666666666666,93.93333333333334,1,3.8999999999999986,24.33333333333333,45.85,Tuesday,0,0,47.22,0
01 00:48:58,01 01:15:54,01 01:25:05,01 01:41:18,262,59,9972,Palo Alto,True,34.76,0.0,2.64,0.0,48.96666666666667,75.9,85.08333333333333,101.3,1,26.933333333333337,9.183333333333323,52.33333333333333,Tuesday,0,0,34.76,0
01 00:49:20,01 01:01:02,01 01:03:26,01 01:38:55,109,194,75081,San Jose,True,62.55,6.0,2.6,0.0,49.333333333333336,61.03333333333333,63.43333333333333,98.91666666666667,1,11.699999999999996,2.3999999999999986,49.583333333333336,Tuesday,0,0,62.55,0
01 00:49:51,01 00:54:24,01 01:08:18,01 01:18:41,334,304,55330,San Jose,True,26.6,0.0,2.66,0.0,49.85,54.4,68.3,78.68333333333334,1,4.549999999999997,13.899999999999999,28.833333333333336,Tuesday,0,0,26.6,0
01 00:51:14,01 01:03:57,,01 01:35:26,245,90,9567,Mountain View,True,22.8,0.0,1.54,0.0,51.233333333333334,63.95,,95.43333333333334,1,12.716666666666669,,44.2,Tuesday,0,0,22.8,0
01 00:52:03,01 01:03:46,01 01:23:38,01 01:40:41,101,250,54965,Mountain View,True,33.62,0.0,1.68,0.0,52.05,63.766666666666666,83.63333333333334,100.68333333333334,1,11.716666666666669,19.866666666666674,48.63333333333334,Tuesday,0,0,33.62,0
01 00:52:37,01 01:55:48,01 02:08:15,01 02:24:13,320,5,75107,Palo Alto,False,39.71,6.0,1.55,6.0,52.61666666666667,115.8,128.25,144.21666666666667,1,63.18333333333333,12.450000000000003,91.6,Tuesday,0,0,33.71,0
01 00:53:43,01 00:56:43,01 01:04:08,01 01:30:02,34,27,978,Palo Alto,True,53.2,0.0,2.17,0.0,53.71666666666667,56.71666666666667,64.13333333333334,90.03333333333333,1,3.0,7.416666666666671,36.31666666666666,Tuesday,0,0,53.2,0
01 00:53:56,01 00:55:09,01 01:17:47,01 01:41:53,248,77,2696,Mountain View,True,40.64,0.0,1.59,0.0,53.93333333333333,55.15,77.78333333333333,101.88333333333334,1,1.2166666666666686,22.633333333333333,47.95000000000001,Tuesday,0,0,40.64,0
01 00:54:08,01 00:54:48,,01 01:45:14,222,83,14519,Palo Alto,True,24.98,0.0,1.25,0.0,54.13333333333333,54.8,,105.23333333333333,1,0.6666666666666643,,51.1,Tuesday,0,0,24.98,0
01 00:54:25,01 01:01:01,,01 02:01:19,324,86,8501,Palo Alto,True,18.51,0.0,1.15,0.0,54.416666666666664,61.016666666666666,,121.31666666666666,1,6.600000000000001,,66.9,Tuesday,0,0,18.51,0
01 00:55:53,01 00:57:37,,01 01:50:09,196,41,6618,Mountain View,True,112.58,0.0,4.9,0.0,55.88333333333333,57.61666666666667,,110.15,1,1.7333333333333343,,54.26666666666667,Tuesday,0,0,112.58,0
01 00:56:11,01 00:57:27,01 01:10:05,01 01:43:34,84,8,8000,Palo Alto,True,92.25,0.0,3.96,0.0,56.18333333333333,57.45,70.08333333333333,103.56666666666666,1,1.2666666666666728,12.633333333333326,47.38333333333333,Tuesday,0,0,92.25,0
01 00:56:18,01 00:59:29,01 01:28:11,01 01:45:04,207,30,74139,Mountain View,True,49.34,0.0,2.47,0.0,56.3,59.483333333333334,88.18333333333334,105.06666666666666,1,3.183333333333337,28.700000000000003,48.766666666666666,Tuesday,0,0,49.34,0
01 00:56:29,01 00:59:39,,01 01:40:33,215,94,60600,Palo Alto,True,91.64,0.0,2.0,0.0,56.483333333333334,59.65,,100.55,1,3.1666666666666643,,44.06666666666666,Tuesday,0,0,91.64,0
01 00:56:40,01 01:05:57,01 01:30:17,01 01:54:30,334,169,14086,San Jose,True,22.26,0.0,3.34,0.0,56.666666666666664,65.95,90.28333333333333,114.5,1,9.283333333333339,24.33333333333333,57.833333333333336,Tuesday,0,0,22.26,0
01 00:56:49,01 01:05:58,01 01:36:45,01 02:05:35,336,170,58191,San Jose,True,23.29,0.0,0.79,0.0,56.81666666666667,65.96666666666667,96.75,125.58333333333333,1,9.149999999999999,30.78333333333333,68.76666666666665,Tuesday,0,0,23.29,0
01 00:57:39,01 00:59:51,01 01:27:56,01 01:46:08,198,9,75131,Palo Alto,True,33.19,6.0,2.5,0.0,57.65,59.85,87.93333333333334,106.13333333333334,1,2.200000000000003,28.083333333333336,48.48333333333334,Tuesday,0,0,33.19,0
